Record_Number,RecordWritten,DNIS,Cluster_ID,Cluster_Type,RepeatCall,Repeat_UID,Source
3863077,10/24/2018 12:19:29 PM,1750,3,Identification,TRUE,ad01ebf5-e65b-4d82-ad51-b91866bc8cbc,OM4
3863079,10/24/2018 12:19:36 PM,1750,3,Identification,TRUE,c90bf081-83ba-4df1-a262-54b675efd766,CM1
3863087,10/24/2018 12:20:09 PM,8767,1,Identification,TRUE,ce14f287-8bd5-452f-b0dd-fb5e612f6ce6,CM1
3863093,10/24/2018 12:20:56 PM,2236,2,Identification,TRUE,4bed0e79-ec88-4d5b-900f-0be3e0bbf0d7,OM1
3863096,10/24/2018 12:21:08 PM,8767,1,Identification,TRUE,487ac82b-e140-426b-ae9e-f2ffff7b5db8,CM2
3863104,10/24/2018 12:22:02 PM,2236,2,Identification,TRUE,488f53bf-1c38-4eaf-8428-b08f6e17ad65,CM3
3863119,10/24/2018 12:23:18 PM,2236,2,Identification,TRUE,da835d8f-0ff0-447e-94f4-8e0c9898626f,OM1
3863143,10/24/2018 12:25:48 PM,1750,3,Identification,TRUE,2dac41d6-1447-44b9-ab77-bfc17ab9a0bd,OM3
3863145,10/24/2018 12:26:07 PM,2236,2,Identification,TRUE,462c2d02-dc70-4326-8f62-7ae0065e8eb7,OM2
3863150,10/24/2018 12:26:39 PM,1750,3,Identification,TRUE,ecf42aea-d96f-4bd7-85a9-11ad8cf44e9e,CM3
3863175,10/24/2018 12:28:50 PM,2796,4,Identification,TRUE,3217e6a1-d368-4503-911d-6326c97d65fb,CM1
3863186,10/24/2018 12:29:24 PM,1750,3,Identification,TRUE,f08e62f8-495e-486e-b3c3-ace1ac227e5d,CM1
3863198,10/24/2018 12:30:09 PM,2236,2,Identification,TRUE,32179c88-74a1-45e9-852e-d470cfcec877,CM4
3863220,10/24/2018 12:32:12 PM,2796,4,Identification,TRUE,04b65b62-c3f2-402b-898c-c80d7ebceeda,OM1
3863219,10/24/2018 12:32:12 PM,1750,3,Identification,TRUE,0c3dfcbf-a238-4fe8-b7fb-4c75fd0c2b3d,CM1
3863222,10/24/2018 12:32:19 PM,2796,4,Identification,TRUE,8ed4c25a-08fb-43c4-912b-c0496bbb085a,CM1
3863234,10/24/2018 12:33:33 PM,2236,2,Identification,TRUE,b812cdad-c42f-4b2a-9bdb-bbed3ca15103,OM3
3863236,10/24/2018 12:33:55 PM,2236,2,Identification,TRUE,d4270f58-e7c4-47d9-a4ba-0c840fd9cb5e,OM4
3863237,10/24/2018 12:33:57 PM,2236,2,Identification,TRUE,ff3d012c-701d-4ab2-af34-2e287263afbd,OM4
3863246,10/24/2018 12:35:04 PM,1750,3,Identification,TRUE,b8bd70ab-9f3d-44a3-8818-6897fbbbe613,CM2
3863248,10/24/2018 12:35:07 PM,2796,4,Identification,TRUE,c20c331d-30a7-429b-b2f0-87c2401fc0f6,CM4
3863254,10/24/2018 12:35:35 PM,2236,2,Identification,TRUE,8c2a362a-b009-4191-a5c3-a7244516178b,OM3
3863264,10/24/2018 12:36:39 PM,2236,2,Identification,TRUE,81eeb0f8-19cb-4de4-8e16-1c26ac860da8,CM4
3863283,10/24/2018 12:38:20 PM,2236,2,Identification,TRUE,9c736b8d-e549-4b86-89a5-2d7656b68ca5,CM2
3863322,10/24/2018 12:41:58 PM,8767,1,Identification,TRUE,8da6bb5e-ba0f-4043-a315-54a8f4eae33c,CM2
3863371,10/24/2018 12:46:08 PM,2236,2,Identification,TRUE,e27d702f-e597-4a2b-8281-de5f9a130f38,CM2
3863379,10/24/2018 12:47:20 PM,8767,1,Identification,TRUE,6682c819-6609-4d68-9a5c-0388ce42a552,OM4
3863392,10/24/2018 12:48:38 PM,2236,2,Identification,TRUE,9ba4fd87-d9d5-4cd2-9ca3-49a23d159539,CM1
3863400,10/24/2018 12:49:38 PM,1033,6,Identification,TRUE,89305f2a-eb9e-4b24-9e55-ba25ce6cb6cc,OM4
